PN,OD,ID,Height,AWG,Min Diameter,Nominal Diameter,Max Diameter,Effective Diameter,Turns,AL,Inductance,Fill Factor
T80-26,0.795,0.495,0.25,10.0,0.1026,0.1037,0.1047,0.105774,11,46.0,5.566,0.48276947250280583
T80-26,0.795,0.495,0.25,11.0,0.0915,0.0925,0.0936,0.09435,13,46.0,7.774,0.45395877971635545
T80-26,0.795,0.495,0.25,12.0,0.0816,0.0825,0.0835,0.08415,15,46.0,10.35,0.41666666666666674
T80-26,0.795,0.495,0.25,13.0,0.0729,0.0737,0.0746,0.075174,17,46.0,13.294,0.37685432098765437
T80-26,0.795,0.495,0.25,14.0,0.0651,0.0659,0.0666,0.067218,19,46.0,16.606,0.33675498418528726
T80-26,0.795,0.495,0.25,15.0,0.058,0.0587,0.0594,0.059874000000000004,22,46.0,22.264,0.30937732884399555
T80-26,0.795,0.495,0.25,16.0,0.0517,0.0524,0.0531,0.053448,25,46.0,28.75,0.2801510049994899
T80-26,0.795,0.495,0.25,17.0,0.0462,0.0469,0.0475,0.047838,29,46.0,38.686,0.26033543515967755
T80-26,0.795,0.495,0.25,18.0,0.0412,0.0418,0.0424,0.042636,33,46.0,50.094,0.2353185185185185
T80-26,0.795,0.495,0.25,19.0,0.0367,0.0373,0.0379,0.038046,37,46.0,62.974,0.2100917457402306
T80-26,0.795,0.495,0.25,20.0,0.0329,0.0335,0.034,0.034170000000000006,42,46.0,81.144,0.19236608509335784
T80-26,0.795,0.495,0.25,21.0,0.0293,0.0298,0.0303,0.030396,48,46.0,105.984,0.17396559534741354
T80-26,0.795,0.495,0.25,22.0,0.0261,0.0266,0.027,0.027132,54,46.0,134.136,0.15593608815427
T80-26,0.795,0.495,0.25,23.0,0.0234,0.0239,0.0243,0.024378,60,46.0,165.6,0.13987389041934498
T80-26,0.795,0.495,0.25,24.0,0.0209,0.0213,0.0217,0.021726,68,46.0,212.704,0.12590927456382
T80-26,0.795,0.495,0.25,25.0,0.0186,0.019,0.0194,0.01938,77,46.0,272.734,0.11344556677890011
T80-26,0.795,0.495,0.25,26.0,0.0166,0.017,0.0173,0.01734,86,46.0,340.216,0.10143454749515357
T80-26,0.795,0.495,0.25,27.0,0.0149,0.0153,0.0156,0.015606,96,46.0,423.936,0.09171570247933883
T80-26,0.795,0.495,0.25,28.0,0.0133,0.0137,0.014,0.013974,108,46.0,536.544,0.08272837465564738
T80-26,0.795,0.495,0.25,29.0,0.0119,0.0123,0.0126,0.012546,120,46.0,662.4,0.07409366391184573
T80-26,0.795,0.495,0.25,30.0,0.0106,0.0109,0.0112,0.011118,136,46.0,850.816,0.06594494439342924
T80-26,0.795,0.495,0.25,31.0,0.0094,0.0097,0.01,0.009894,154,46.0,1090.936,0.05913625140291807
T80-26,0.795,0.495,0.25,32.0,0.0085,0.0088,0.009,0.008976000000000001,170,46.0,1329.4,0.05372839506172839
T80-26,0.795,0.495,0.25,33.0,0.0075,0.0078,0.0081,0.007956,192,46.0,1695.744,0.04767382920110192
T80-26,0.795,0.495,0.25,34.0,0.0067,0.007,0.0072,0.0071400000000000005,214,46.0,2106.616,0.04279563309866341
T80-26,0.795,0.495,0.25,35.0,0.0059,0.0062,0.0065,0.006324,242,46.0,2693.944,0.03796543209876543
T80-26,0.795,0.495,0.25,36.0,0.0053,0.0056,0.0058,0.005712,269,46.0,3328.606,0.034428486889092946
T184-26,1.84,0.95,0.71,10.0,0.1026,0.1037,0.1047,0.105774,25,169.0,105.625,0.29788614958448756
T184-26,1.84,0.95,0.71,11.0,0.0915,0.0925,0.0936,0.09435,28,169.0,132.496,0.26545706371191136
T184-26,1.84,0.95,0.71,12.0,0.0816,0.0825,0.0835,0.08415,32,169.0,173.056,0.24132963988919673
T184-26,1.84,0.95,0.71,13.0,0.0729,0.0737,0.0746,0.075174,36,169.0,219.024,0.2166657506925208
T184-26,1.84,0.95,0.71,14.0,0.0651,0.0659,0.0666,0.067218,41,169.0,284.089,0.19729109141274237
T184-26,1.84,0.95,0.71,15.0,0.058,0.0587,0.0594,0.059874000000000004,46,169.0,357.604,0.1756251966759003
T184-26,1.84,0.95,0.71,16.0,0.0517,0.0524,0.0531,0.053448,52,169.0,456.976,0.15820445429362884
T184-26,1.84,0.95,0.71,17.0,0.0462,0.0469,0.0475,0.047838,59,169.0,588.289,0.14379721883656507
T184-26,1.84,0.95,0.71,18.0,0.0412,0.0418,0.0424,0.042636,66,169.0,736.164,0.127776
T184-26,1.84,0.95,0.71,19.0,0.0367,0.0373,0.0379,0.038046,75,169.0,950.625,0.1156196675900277
T184-26,1.84,0.95,0.71,20.0,0.0329,0.0335,0.034,0.034170000000000006,84,169.0,1192.464,0.10445318559556789
T184-26,1.84,0.95,0.71,21.0,0.0293,0.0298,0.0303,0.030396,95,169.0,1525.225,0.09347789473684211
T184-26,1.84,0.95,0.71,22.0,0.0261,0.0266,0.027,0.027132,106,169.0,1898.884,0.083104
T184-26,1.84,0.95,0.71,23.0,0.0234,0.0239,0.0243,0.024378,119,169.0,2393.209,0.0753174404432133
T184-26,1.84,0.95,0.71,24.0,0.0209,0.0213,0.0217,0.021726,134,169.0,3034.564,0.06736228254847645
T184-26,1.84,0.95,0.71,25.0,0.0186,0.019,0.0194,0.01938,150,169.0,3802.5,0.06
T184-26,1.84,0.95,0.71,26.0,0.0166,0.017,0.0173,0.01734,168,169.0,4769.856,0.05379722991689752
T184-26,1.84,0.95,0.71,27.0,0.0149,0.0153,0.0156,0.015606,188,169.0,5973.136,0.04876334626038781
T184-26,1.84,0.95,0.71,28.0,0.0133,0.0137,0.014,0.013974,210,169.0,7452.9,0.04367301939058172
T184-26,1.84,0.95,0.71,29.0,0.0119,0.0123,0.0126,0.012546,234,169.0,9253.764,0.03922643767313019
T184-26,1.84,0.95,0.71,30.0,0.0106,0.0109,0.0112,0.011118,265,169.0,11868.025,0.034886038781163434
T184-26,1.84,0.95,0.71,31.0,0.0094,0.0097,0.01,0.009894,298,169.0,15007.876,0.03106794459833795
T184-26,1.84,0.95,0.71,32.0,0.0085,0.0088,0.009,0.008976000000000001,329,169.0,18292.729,0.028230204986149584
T184-26,1.84,0.95,0.71,33.0,0.0075,0.0078,0.0081,0.007956,371,169.0,23261.329,0.02501012742382271
T184-26,1.84,0.95,0.71,34.0,0.0067,0.007,0.0072,0.0071400000000000005,414,169.0,28965.924,0.022477562326869812
T184-26,1.84,0.95,0.71,35.0,0.0059,0.0062,0.0065,0.006324,468,169.0,37015.056,0.019933429362880884
T184-26,1.84,0.95,0.71,36.0,0.0053,0.0056,0.0058,0.005712,519,169.0,45522.009,0.018034171745152355
T132-26,1.3,0.7,0.437,10.0,0.1026,0.1037,0.1047,0.105774,17,103.0,29.767,0.37308720408163276
T132-26,1.3,0.7,0.437,11.0,0.0915,0.0925,0.0936,0.09435,20,103.0,41.2,0.3492346938775511
T132-26,1.3,0.7,0.437,12.0,0.0816,0.0825,0.0835,0.08415,22,103.0,49.852,0.30558673469387765
T132-26,1.3,0.7,0.437,13.0,0.0729,0.0737,0.0746,0.075174,26,103.0,69.628,0.28821212244897965
T132-26,1.3,0.7,0.437,14.0,0.0651,0.0659,0.0666,0.067218,29,103.0,86.623,0.2570234489795919
T132-26,1.3,0.7,0.437,15.0,0.058,0.0587,0.0594,0.059874000000000004,33,103.0,112.167,0.23205667346938783
T132-26,1.3,0.7,0.437,16.0,0.0517,0.0524,0.0531,0.053448,38,103.0,148.732,0.21293648979591842
T132-26,1.3,0.7,0.437,17.0,0.0462,0.0469,0.0475,0.047838,42,103.0,181.692,0.18853800000000004
T132-26,1.3,0.7,0.437,18.0,0.0412,0.0418,0.0424,0.042636,48,103.0,237.312,0.17115820408163265
T132-26,1.3,0.7,0.437,19.0,0.0367,0.0373,0.0379,0.038046,54,103.0,300.348,0.1533258367346939
T132-26,1.3,0.7,0.437,20.0,0.0329,0.0335,0.034,0.034170000000000006,61,103.0,383.263,0.1397086734693878
T132-26,1.3,0.7,0.437,21.0,0.0293,0.0298,0.0303,0.030396,69,103.0,490.383,0.12505053061224491
T132-26,1.3,0.7,0.437,22.0,0.0261,0.0266,0.027,0.027132,77,103.0,610.687,0.11118800000000004
T132-26,1.3,0.7,0.437,23.0,0.0234,0.0239,0.0243,0.024378,87,103.0,779.607,0.10141891836734696
T132-26,1.3,0.7,0.437,24.0,0.0209,0.0213,0.0217,0.021726,98,103.0,989.212,0.090738
T132-26,1.3,0.7,0.437,25.0,0.0186,0.019,0.0194,0.01938,110,103.0,1246.3,0.08104081632653061
T132-26,1.3,0.7,0.437,26.0,0.0166,0.017,0.0173,0.01734,123,103.0,1558.287,0.0725448979591837
T132-26,1.3,0.7,0.437,27.0,0.0149,0.0153,0.0156,0.015606,137,103.0,1933.207,0.0654496530612245
T132-26,1.3,0.7,0.437,28.0,0.0133,0.0137,0.014,0.013974,154,103.0,2442.748,0.05898828571428573
T132-26,1.3,0.7,0.437,29.0,0.0119,0.0123,0.0126,0.012546,172,103.0,3047.152,0.05310587755102041
T132-26,1.3,0.7,0.437,30.0,0.0106,0.0109,0.0112,0.011118,194,103.0,3876.508,0.0470390612244898
T132-26,1.3,0.7,0.437,31.0,0.0094,0.0097,0.01,0.009894,219,103.0,4939.983,0.042052469387755115
T132-26,1.3,0.7,0.437,32.0,0.0085,0.0088,0.009,0.008976000000000001,241,103.0,5982.343,0.03808783673469388
T132-26,1.3,0.7,0.437,33.0,0.0075,0.0078,0.0081,0.007956,273,103.0,7676.487,0.03389657142857143
T132-26,1.3,0.7,0.437,34.0,0.0067,0.007,0.0072,0.0071400000000000005,304,103.0,9518.848,0.03040000000000001
T132-26,1.3,0.7,0.437,35.0,0.0059,0.0062,0.0065,0.006324,344,103.0,12188.608,0.026986448979591838
T132-26,1.3,0.7,0.437,36.0,0.0053,0.0056,0.0058,0.005712,381,103.0,14951.583,0.024384000000000003
20-14u,0.275196999,0.090157529,0.135039443,14.0,0.0651,0.0659,0.0666,0.067218,1,6.0,0.006,0.5342774305697007
20-14u,0.275196999,0.090157529,0.135039443,15.0,0.058,0.0587,0.0594,0.059874000000000004,1,6.0,0.006,0.42390857526341524
20-14u,0.275196999,0.090157529,0.135039443,16.0,0.0517,0.0524,0.0531,0.053448,2,6.0,0.024,0.6755983327666012
20-14u,0.275196999,0.090157529,0.135039443,17.0,0.0462,0.0469,0.0475,0.047838,2,6.0,0.024,0.5412173127792463
20-14u,0.275196999,0.090157529,0.135039443,18.0,0.0412,0.0418,0.0424,0.042636,3,6.0,0.054,0.6448665019574449
20-14u,0.275196999,0.090157529,0.135039443,19.0,0.0367,0.0373,0.0379,0.038046,4,6.0,0.096,0.6846579485423667
20-14u,0.275196999,0.090157529,0.135039443,20.0,0.0329,0.0335,0.034,0.034170000000000006,5,6.0,0.15,0.6903282050755695
20-14u,0.275196999,0.090157529,0.135039443,21.0,0.0293,0.0298,0.0303,0.030396,6,6.0,0.216,0.6555106893137628
20-14u,0.275196999,0.090157529,0.135039443,22.0,0.0261,0.0266,0.027,0.027132,7,6.0,0.294,0.609336667138853
20-14u,0.275196999,0.090157529,0.135039443,23.0,0.0234,0.0239,0.0243,0.024378,8,6.0,0.384,0.5621882810727963
20-14u,0.275196999,0.090157529,0.135039443,24.0,0.0209,0.0213,0.0217,0.021726,9,6.0,0.486,0.502339947470994
20-14u,0.275196999,0.090157529,0.135039443,25.0,0.0186,0.019,0.0194,0.01938,11,6.0,0.726,0.4885352287556401
20-14u,0.275196999,0.090157529,0.135039443,26.0,0.0166,0.017,0.0173,0.01734,13,6.0,1.014,0.4622077195756586
20-14u,0.275196999,0.090157529,0.135039443,27.0,0.0149,0.0153,0.0156,0.015606,15,6.0,1.35,0.43198644560340393
20-14u,0.275196999,0.090157529,0.135039443,28.0,0.0133,0.0137,0.014,0.013974,17,6.0,1.734,0.3925419316160876
20-14u,0.275196999,0.090157529,0.135039443,29.0,0.0119,0.0123,0.0126,0.012546,19,6.0,2.166,0.35363873090163056
20-14u,0.275196999,0.090157529,0.135039443,30.0,0.0106,0.0109,0.0112,0.011118,22,6.0,2.904,0.3215671497421474
20-14u,0.275196999,0.090157529,0.135039443,31.0,0.0094,0.0097,0.01,0.009894,25,6.0,3.75,0.2893873059280923
20-14u,0.275196999,0.090157529,0.135039443,32.0,0.0085,0.0088,0.009,0.008976000000000001,28,6.0,4.704,0.26675918086512956
20-14u,0.275196999,0.090157529,0.135039443,33.0,0.0075,0.0078,0.0081,0.007956,32,6.0,6.144,0.23951636015104016
20-14u,0.275196999,0.090157529,0.135039443,34.0,0.0067,0.007,0.0072,0.0071400000000000005,36,6.0,7.776,0.2170174121191008
20-14u,0.275196999,0.090157529,0.135039443,35.0,0.0059,0.0062,0.0065,0.006324,41,6.0,10.086,0.19389349330849637
20-14u,0.275196999,0.090157529,0.135039443,36.0,0.0053,0.0056,0.0058,0.005712,46,6.0,12.696,0.17747201702184243
20-19u,0.275196999,0.090157529,0.135039443,14.0,0.0651,0.0659,0.0666,0.067218,1,8.0,0.008,0.5342774305697007
20-19u,0.275196999,0.090157529,0.135039443,15.0,0.058,0.0587,0.0594,0.059874000000000004,1,8.0,0.008,0.42390857526341524
20-19u,0.275196999,0.090157529,0.135039443,16.0,0.0517,0.0524,0.0531,0.053448,2,8.0,0.032,0.6755983327666012
20-19u,0.275196999,0.090157529,0.135039443,17.0,0.0462,0.0469,0.0475,0.047838,2,8.0,0.032,0.5412173127792463
20-19u,0.275196999,0.090157529,0.135039443,18.0,0.0412,0.0418,0.0424,0.042636,3,8.0,0.072,0.6448665019574449
20-19u,0.275196999,0.090157529,0.135039443,19.0,0.0367,0.0373,0.0379,0.038046,4,8.0,0.128,0.6846579485423667
20-19u,0.275196999,0.090157529,0.135039443,20.0,0.0329,0.0335,0.034,0.034170000000000006,5,8.0,0.2,0.6903282050755695
20-19u,0.275196999,0.090157529,0.135039443,21.0,0.0293,0.0298,0.0303,0.030396,6,8.0,0.288,0.6555106893137628
20-19u,0.275196999,0.090157529,0.135039443,22.0,0.0261,0.0266,0.027,0.027132,7,8.0,0.392,0.609336667138853
20-19u,0.275196999,0.090157529,0.135039443,23.0,0.0234,0.0239,0.0243,0.024378,8,8.0,0.512,0.5621882810727963
20-19u,0.275196999,0.090157529,0.135039443,24.0,0.0209,0.0213,0.0217,0.021726,9,8.0,0.648,0.502339947470994
20-19u,0.275196999,0.090157529,0.135039443,25.0,0.0186,0.019,0.0194,0.01938,11,8.0,0.968,0.4885352287556401
20-19u,0.275196999,0.090157529,0.135039443,26.0,0.0166,0.017,0.0173,0.01734,13,8.0,1.352,0.4622077195756586
20-19u,0.275196999,0.090157529,0.135039443,27.0,0.0149,0.0153,0.0156,0.015606,15,8.0,1.8,0.43198644560340393
20-19u,0.275196999,0.090157529,0.135039443,28.0,0.0133,0.0137,0.014,0.013974,17,8.0,2.312,0.3925419316160876
20-19u,0.275196999,0.090157529,0.135039443,29.0,0.0119,0.0123,0.0126,0.012546,19,8.0,2.888,0.35363873090163056
20-19u,0.275196999,0.090157529,0.135039443,30.0,0.0106,0.0109,0.0112,0.011118,22,8.0,3.872,0.3215671497421474
20-19u,0.275196999,0.090157529,0.135039443,31.0,0.0094,0.0097,0.01,0.009894,25,8.0,5.0,0.2893873059280923
20-19u,0.275196999,0.090157529,0.135039443,32.0,0.0085,0.0088,0.009,0.008976000000000001,28,8.0,6.272,0.26675918086512956
20-19u,0.275196999,0.090157529,0.135039443,33.0,0.0075,0.0078,0.0081,0.007956,32,8.0,8.192,0.23951636015104016
20-19u,0.275196999,0.090157529,0.135039443,34.0,0.0067,0.007,0.0072,0.0071400000000000005,36,8.0,10.368,0.2170174121191008
20-19u,0.275196999,0.090157529,0.135039443,35.0,0.0059,0.0062,0.0065,0.006324,41,8.0,13.448,0.19389349330849637
20-19u,0.275196999,0.090157529,0.135039443,36.0,0.0053,0.0056,0.0058,0.005712,46,8.0,16.928,0.17747201702184243
20-26u,0.275196999,0.090157529,0.135039443,14.0,0.0651,0.0659,0.0666,0.067218,1,10.0,0.01,0.5342774305697007
20-26u,0.275196999,0.090157529,0.135039443,15.0,0.058,0.0587,0.0594,0.059874000000000004,1,10.0,0.01,0.42390857526341524
20-26u,0.275196999,0.090157529,0.135039443,16.0,0.0517,0.0524,0.0531,0.053448,2,10.0,0.04,0.6755983327666012
20-26u,0.275196999,0.090157529,0.135039443,17.0,0.0462,0.0469,0.0475,0.047838,2,10.0,0.04,0.5412173127792463
20-26u,0.275196999,0.090157529,0.135039443,18.0,0.0412,0.0418,0.0424,0.042636,3,10.0,0.09,0.6448665019574449
20-26u,0.275196999,0.090157529,0.135039443,19.0,0.0367,0.0373,0.0379,0.038046,4,10.0,0.16,0.6846579485423667
20-26u,0.275196999,0.090157529,0.135039443,20.0,0.0329,0.0335,0.034,0.034170000000000006,5,10.0,0.25,0.6903282050755695
20-26u,0.275196999,0.090157529,0.135039443,21.0,0.0293,0.0298,0.0303,0.030396,6,10.0,0.36,0.6555106893137628
20-26u,0.275196999,0.090157529,0.135039443,22.0,0.0261,0.0266,0.027,0.027132,7,10.0,0.49,0.609336667138853
20-26u,0.275196999,0.090157529,0.135039443,23.0,0.0234,0.0239,0.0243,0.024378,8,10.0,0.64,0.5621882810727963
20-26u,0.275196999,0.090157529,0.135039443,24.0,0.0209,0.0213,0.0217,0.021726,9,10.0,0.81,0.502339947470994
20-26u,0.275196999,0.090157529,0.135039443,25.0,0.0186,0.019,0.0194,0.01938,11,10.0,1.21,0.4885352287556401
20-26u,0.275196999,0.090157529,0.135039443,26.0,0.0166,0.017,0.0173,0.01734,13,10.0,1.69,0.4622077195756586
20-26u,0.275196999,0.090157529,0.135039443,27.0,0.0149,0.0153,0.0156,0.015606,15,10.0,2.25,0.43198644560340393
20-26u,0.275196999,0.090157529,0.135039443,28.0,0.0133,0.0137,0.014,0.013974,17,10.0,2.89,0.3925419316160876
20-26u,0.275196999,0.090157529,0.135039443,29.0,0.0119,0.0123,0.0126,0.012546,19,10.0,3.61,0.35363873090163056
20-26u,0.275196999,0.090157529,0.135039443,30.0,0.0106,0.0109,0.0112,0.011118,22,10.0,4.84,0.3215671497421474
20-26u,0.275196999,0.090157529,0.135039443,31.0,0.0094,0.0097,0.01,0.009894,25,10.0,6.25,0.2893873059280923
20-26u,0.275196999,0.090157529,0.135039443,32.0,0.0085,0.0088,0.009,0.008976000000000001,28,10.0,7.84,0.26675918086512956
20-26u,0.275196999,0.090157529,0.135039443,33.0,0.0075,0.0078,0.0081,0.007956,32,10.0,10.24,0.23951636015104016
20-26u,0.275196999,0.090157529,0.135039443,34.0,0.0067,0.007,0.0072,0.0071400000000000005,36,10.0,12.96,0.2170174121191008
20-26u,0.275196999,0.090157529,0.135039443,35.0,0.0059,0.0062,0.0065,0.006324,41,10.0,16.81,0.19389349330849637
20-26u,0.275196999,0.090157529,0.135039443,36.0,0.0053,0.0056,0.0058,0.005712,46,10.0,21.16,0.17747201702184243
20-40u,0.275196999,0.090157529,0.135039443,14.0,0.0651,0.0659,0.0666,0.067218,1,18.0,0.018,0.5342774305697007
20-40u,0.275196999,0.090157529,0.135039443,15.0,0.058,0.0587,0.0594,0.059874000000000004,1,18.0,0.018,0.42390857526341524
20-40u,0.275196999,0.090157529,0.135039443,16.0,0.0517,0.0524,0.0531,0.053448,2,18.0,0.072,0.6755983327666012
20-40u,0.275196999,0.090157529,0.135039443,17.0,0.0462,0.0469,0.0475,0.047838,2,18.0,0.072,0.5412173127792463
20-40u,0.275196999,0.090157529,0.135039443,18.0,0.0412,0.0418,0.0424,0.042636,3,18.0,0.162,0.6448665019574449
20-40u,0.275196999,0.090157529,0.135039443,19.0,0.0367,0.0373,0.0379,0.038046,4,18.0,0.288,0.6846579485423667
20-40u,0.275196999,0.090157529,0.135039443,20.0,0.0329,0.0335,0.034,0.034170000000000006,5,18.0,0.45,0.6903282050755695
20-40u,0.275196999,0.090157529,0.135039443,21.0,0.0293,0.0298,0.0303,0.030396,6,18.0,0.648,0.6555106893137628
20-40u,0.275196999,0.090157529,0.135039443,22.0,0.0261,0.0266,0.027,0.027132,7,18.0,0.882,0.609336667138853
20-40u,0.275196999,0.090157529,0.135039443,23.0,0.0234,0.0239,0.0243,0.024378,8,18.0,1.152,0.5621882810727963
20-40u,0.275196999,0.090157529,0.135039443,24.0,0.0209,0.0213,0.0217,0.021726,9,18.0,1.458,0.502339947470994
20-40u,0.275196999,0.090157529,0.135039443,25.0,0.0186,0.019,0.0194,0.01938,11,18.0,2.178,0.4885352287556401
20-40u,0.275196999,0.090157529,0.135039443,26.0,0.0166,0.017,0.0173,0.01734,13,18.0,3.042,0.4622077195756586
20-40u,0.275196999,0.090157529,0.135039443,27.0,0.0149,0.0153,0.0156,0.015606,15,18.0,4.05,0.43198644560340393
20-40u,0.275196999,0.090157529,0.135039443,28.0,0.0133,0.0137,0.014,0.013974,17,18.0,5.202,0.3925419316160876
20-40u,0.275196999,0.090157529,0.135039443,29.0,0.0119,0.0123,0.0126,0.012546,19,18.0,6.498,0.35363873090163056
20-40u,0.275196999,0.090157529,0.135039443,30.0,0.0106,0.0109,0.0112,0.011118,22,18.0,8.712,0.3215671497421474
20-40u,0.275196999,0.090157529,0.135039443,31.0,0.0094,0.0097,0.01,0.009894,25,18.0,11.25,0.2893873059280923
20-40u,0.275196999,0.090157529,0.135039443,32.0,0.0085,0.0088,0.009,0.008976000000000001,28,18.0,14.112,0.26675918086512956
20-40u,0.275196999,0.090157529,0.135039443,33.0,0.0075,0.0078,0.0081,0.007956,32,18.0,18.432,0.23951636015104016
20-40u,0.275196999,0.090157529,0.135039443,34.0,0.0067,0.007,0.0072,0.0071400000000000005,36,18.0,23.328,0.2170174121191008
20-40u,0.275196999,0.090157529,0.135039443,35.0,0.0059,0.0062,0.0065,0.006324,41,18.0,30.258,0.19389349330849637
20-40u,0.275196999,0.090157529,0.135039443,36.0,0.0053,0.0056,0.0058,0.005712,46,18.0,38.088,0.17747201702184243
20-60u,0.275196999,0.090157529,0.135039443,14.0,0.0651,0.0659,0.0666,0.067218,1,24.0,0.024,0.5342774305697007
20-60u,0.275196999,0.090157529,0.135039443,15.0,0.058,0.0587,0.0594,0.059874000000000004,1,24.0,0.024,0.42390857526341524
20-60u,0.275196999,0.090157529,0.135039443,16.0,0.0517,0.0524,0.0531,0.053448,2,24.0,0.096,0.6755983327666012
20-60u,0.275196999,0.090157529,0.135039443,17.0,0.0462,0.0469,0.0475,0.047838,2,24.0,0.096,0.5412173127792463
20-60u,0.275196999,0.090157529,0.135039443,18.0,0.0412,0.0418,0.0424,0.042636,3,24.0,0.216,0.6448665019574449
20-60u,0.275196999,0.090157529,0.135039443,19.0,0.0367,0.0373,0.0379,0.038046,4,24.0,0.384,0.6846579485423667
20-60u,0.275196999,0.090157529,0.135039443,20.0,0.0329,0.0335,0.034,0.034170000000000006,5,24.0,0.6,0.6903282050755695
20-60u,0.275196999,0.090157529,0.135039443,21.0,0.0293,0.0298,0.0303,0.030396,6,24.0,0.864,0.6555106893137628
20-60u,0.275196999,0.090157529,0.135039443,22.0,0.0261,0.0266,0.027,0.027132,7,24.0,1.176,0.609336667138853
20-60u,0.275196999,0.090157529,0.135039443,23.0,0.0234,0.0239,0.0243,0.024378,8,24.0,1.536,0.5621882810727963
20-60u,0.275196999,0.090157529,0.135039443,24.0,0.0209,0.0213,0.0217,0.021726,9,24.0,1.944,0.502339947470994
20-60u,0.275196999,0.090157529,0.135039443,25.0,0.0186,0.019,0.0194,0.01938,11,24.0,2.904,0.4885352287556401
20-60u,0.275196999,0.090157529,0.135039443,26.0,0.0166,0.017,0.0173,0.01734,13,24.0,4.056,0.4622077195756586
20-60u,0.275196999,0.090157529,0.135039443,27.0,0.0149,0.0153,0.0156,0.015606,15,24.0,5.4,0.43198644560340393
20-60u,0.275196999,0.090157529,0.135039443,28.0,0.0133,0.0137,0.014,0.013974,17,24.0,6.936,0.3925419316160876
20-60u,0.275196999,0.090157529,0.135039443,29.0,0.0119,0.0123,0.0126,0.012546,19,24.0,8.664,0.35363873090163056
20-60u,0.275196999,0.090157529,0.135039443,30.0,0.0106,0.0109,0.0112,0.011118,22,24.0,11.616,0.3215671497421474
20-60u,0.275196999,0.090157529,0.135039443,31.0,0.0094,0.0097,0.01,0.009894,25,24.0,15.0,0.2893873059280923
20-60u,0.275196999,0.090157529,0.135039443,32.0,0.0085,0.0088,0.009,0.008976000000000001,28,24.0,18.816,0.26675918086512956
20-60u,0.275196999,0.090157529,0.135039443,33.0,0.0075,0.0078,0.0081,0.007956,32,24.0,24.576,0.23951636015104016
20-60u,0.275196999,0.090157529,0.135039443,34.0,0.0067,0.007,0.0072,0.0071400000000000005,36,24.0,31.104,0.2170174121191008
20-60u,0.275196999,0.090157529,0.135039443,35.0,0.0059,0.0062,0.0065,0.006324,41,24.0,40.344,0.19389349330849637
20-60u,0.275196999,0.090157529,0.135039443,36.0,0.0053,0.0056,0.0058,0.005712,46,24.0,50.784,0.17747201702184243
20-75u,0.275196999,0.090157529,0.135039443,14.0,0.0651,0.0659,0.0666,0.067218,1,30.0,0.03,0.5342774305697007
20-75u,0.275196999,0.090157529,0.135039443,15.0,0.058,0.0587,0.0594,0.059874000000000004,1,30.0,0.03,0.42390857526341524
20-75u,0.275196999,0.090157529,0.135039443,16.0,0.0517,0.0524,0.0531,0.053448,2,30.0,0.12,0.6755983327666012
20-75u,0.275196999,0.090157529,0.135039443,17.0,0.0462,0.0469,0.0475,0.047838,2,30.0,0.12,0.5412173127792463
20-75u,0.275196999,0.090157529,0.135039443,18.0,0.0412,0.0418,0.0424,0.042636,3,30.0,0.27,0.6448665019574449
20-75u,0.275196999,0.090157529,0.135039443,19.0,0.0367,0.0373,0.0379,0.038046,4,30.0,0.48,0.6846579485423667
20-75u,0.275196999,0.090157529,0.135039443,20.0,0.0329,0.0335,0.034,0.034170000000000006,5,30.0,0.75,0.6903282050755695
20-75u,0.275196999,0.090157529,0.135039443,21.0,0.0293,0.0298,0.0303,0.030396,6,30.0,1.08,0.6555106893137628
20-75u,0.275196999,0.090157529,0.135039443,22.0,0.0261,0.0266,0.027,0.027132,7,30.0,1.47,0.609336667138853
20-75u,0.275196999,0.090157529,0.135039443,23.0,0.0234,0.0239,0.0243,0.024378,8,30.0,1.92,0.5621882810727963
20-75u,0.275196999,0.090157529,0.135039443,24.0,0.0209,0.0213,0.0217,0.021726,9,30.0,2.43,0.502339947470994
20-75u,0.275196999,0.090157529,0.135039443,25.0,0.0186,0.019,0.0194,0.01938,11,30.0,3.63,0.4885352287556401
20-75u,0.275196999,0.090157529,0.135039443,26.0,0.0166,0.017,0.0173,0.01734,13,30.0,5.07,0.4622077195756586
20-75u,0.275196999,0.090157529,0.135039443,27.0,0.0149,0.0153,0.0156,0.015606,15,30.0,6.75,0.43198644560340393
20-75u,0.275196999,0.090157529,0.135039443,28.0,0.0133,0.0137,0.014,0.013974,17,30.0,8.67,0.3925419316160876
20-75u,0.275196999,0.090157529,0.135039443,29.0,0.0119,0.0123,0.0126,0.012546,19,30.0,10.83,0.35363873090163056
20-75u,0.275196999,0.090157529,0.135039443,30.0,0.0106,0.0109,0.0112,0.011118,22,30.0,14.52,0.3215671497421474
20-75u,0.275196999,0.090157529,0.135039443,31.0,0.0094,0.0097,0.01,0.009894,25,30.0,18.75,0.2893873059280923
20-75u,0.275196999,0.090157529,0.135039443,32.0,0.0085,0.0088,0.009,0.008976000000000001,28,30.0,23.52,0.26675918086512956
20-75u,0.275196999,0.090157529,0.135039443,33.0,0.0075,0.0078,0.0081,0.007956,32,30.0,30.72,0.23951636015104016
20-75u,0.275196999,0.090157529,0.135039443,34.0,0.0067,0.007,0.0072,0.0071400000000000005,36,30.0,38.88,0.2170174121191008
